來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
聚落,B538,,鹿仔坑,Lo̍k-á-khinn,,,,lugˋ er hangˋ,,,B538_鹿仔坑.mp3
聚落,B539,,坪埔,Pînn-poo,,,,piang buˋ,,,B539_坪埔.mp3
聚落,B540,,新厝仔,Sin-tshù-á,,,,sinˋ vug,,新屋,B540_新厝仔.mp3
聚落,B541,,隘路坪,Ài-lōo-pînn,,,,aiˇ lu+ piang,,,B541_隘路坪.mp3
聚落,B542,,泉興埔,Tsuân-hing-poo,,,,can hinˋ buˋ,,,B542_泉興埔.mp3
聚落,B543,,坪埔頂,Pînn-poo-tíng,,,,piang buˋdangˊ,,,B543_坪埔頂.mp3
聚落,B544,,柴梳山,Tshâ-sue-suann,,,,cai soˋ sanˋ,,,B544_柴梳山.mp3
聚落,B545,,新庄仔,Sin-tsng-á,,,,sinˋ zongˋ er,,,B545_新庄仔.mp3
聚落,B546,,牛路埤仔、牛路埤仔腳,"Gû-lōo-pi-á, Gû-lōo-pi-á-kha",,,,ngiu lu+ biˋ er/ngiu lu+ biˋ er haˋ,,牛路陂仔、牛路陂仔下,B546_牛路埤仔、牛路埤仔腳.mp3
聚落,B547,,崁仔腳、陳厝仔,"Khàm-á-kha, Tân-tshù-á",,,,kamˇ er haˋ/chin vug,,崁仔下、陳屋,B547_崁仔腳、陳厝仔.mp3
聚落,B548,,林厝,Lîm--tshù,,,,lim vug,,林屋,B548_林厝.mp3
聚落,B549,,豬屠埤,Ti-tôo-pi,,,,zhuˋ tu biˋ,,豬屠陂,B549_豬屠埤.mp3
聚落,B550,,埔頂,poo-tíng,,,,buˋ dangˊ,,,B550_埔頂.mp3
聚落,B551,,塚仔頂,Thióng-á-tíng,,,,chungˊ er dangˊ,,,B551_塚仔頂.mp3
聚落,B552,,潭後溝,Thâm-āu-kau,,,,tam boiˇ gieuˋ,,潭背溝,B552_潭後溝.mp3
聚落,B553,,頭前田,Thâu-tsîng-tshân,,,,teu cien tien,,,B553_頭前田.mp3
聚落,B554,,汴仔頭,Pān-á-thâu,,,,banˋ er teu,,,B554_汴仔頭.mp3
聚落,B555,,莿被仔,Tshì-phē-á,,,,ned piˋ er,,竻被仔,B555_莿被仔.mp3
聚落,B556,,徐厝,Tshî--tshù,,,,ci vug,,徐屋,B556_徐厝.mp3
聚落,B557,,胡厝,Oô--tshù,,,,fu vug,,胡屋,B557_胡厝.mp3
聚落,B558,,冷水坑仔,Líng-tsuí-khinn-á,,,,langˋ shuiˊ hangˋ er,,,B558_冷水坑仔.mp3
聚落,B559,,狗氤氳,Káu-un-khûn,,,,gieuˊ rhinˋ rhunˋ,,,B559_狗氤氳.mp3
聚落,B560,,竹仔寮,Tik-á-liâu,,,,zhug er liau,,,B560_竹仔寮.mp3
聚落,B561,,金城新村,Kim-siânn-sin-tshuan,,,,gimˋ shang sinˋ cunˋ,,,B561_金城新村.mp3
聚落,B562,,文教新村,Bûn-kàu-sin-tshuan,,,,vun gauˇ sinˋ cunˋ,,,B562_文教新村.mp3
聚落,B563,,中埔頂,Tiong-poo-tíng,,,,zhungˋ buˋ dangˊ,,,B563_中埔頂.mp3
聚落,B564,,崩埤溝,Pang-pi-kau,,,,benˋ biˋ gieuˋ,,崩陂溝,B564_崩埤溝.mp3
聚落,B565,,精忠新村,Tsing-tiong-sin-tshuan,,,,zinˋ zhungˋ sinˋ cunˋ,,,B565_精忠新村.mp3
聚落,B566,,孟竹國宅,Bīng-tik-kok-the̍h,,,,men+ zhug gued cedˋ,,,B566_孟竹國宅.mp3
聚落,B567,,赤土崎,Tshiah-thôo-kiā,,,赤塗崎,chag nai giaˇ,,赤泥崎,B567_赤土崎.mp3
聚落,B568,,公學新村,Kong-ha̍k-sin-tshuan,,,,gungˋ hogˋ sinˋ cunˋ,,,B568_公學新村.mp3
聚落,B569,,赤土仔,Tshiah-thôo-á,,,赤塗仔,chag nai er,,赤泥仔,B569_赤土仔.mp3
聚落,B570,,光明新村,Kong-bîng-sin-tshuan,,,,gongˋ min sinˋ cunˋ,,,B570_光明新村.mp3
聚落,B571,,雞卵面,Kue-nn̄g-bīn,,,,gaiˋ lonˊ mienˇ,,,B571_雞卵面.mp3
聚落,B572,,蜈蜞窩,Ngôo-khî-o,,,,fu ki voˋ,,湖蜞窩,B572_蜈蜞窩.mp3
聚落,B573,,風吹輦崎,Hong-tshe-lián-kiā,,,,fungˋ chuiˋ lien+ giaˇ,,,B573_風吹輦崎.mp3
聚落,B574,,茶寮,Tê-liâu,,,,ca liau,,,B574_茶寮.mp3
聚落,B575,,十八尖山腳,Tsa̍p-pueh-tsiam-suann-kha,,,,shibˋ bad ziamˋ sanˋ haˋ,,十八尖山下,B575_十八尖山腳.mp3
聚落,B576,,管㼨頭,Kóng-âm-thâu,,,,gonˊ ham teu,,管涵頭,B576_管㼨頭.mp3
聚落,B577,,二五甲,Lī-gōo-kah,,,,ngi+ ngˊ gab,,,B577_二五甲.mp3
聚落,B578,,雞規仔寮,Kue-kui-á-liâu,,,雞胿仔寮,gaiˋ goiˋ er liau,,雞胲仔寮,B578_雞規仔寮.mp3
聚落,B579,,五十座,Gōo-tsa̍p-tsō,,,,ngˊ shibˋ co+,,,B579_五十座.mp3
聚落,B580,,土地公坑,Thóo-tī-kong-khinn,,,,bag gungˋ hangˋ,,伯公坑,B580_土地公坑.mp3
聚落,B581,,南勢坑,Lâm-sì-khinn,,,,nam sheˇ hangˋ,,,B581_南勢坑.mp3
聚落,B582,,古奇峰,Kóo-kî-hong,,,古稱「土地公坑」後轉音「古奇峰」,guˊ ki fungˋ,,,B582_古奇峰.mp3
聚落,B583,,李厝,Lí--tshù,,,,liˊ vug,,李屋,B583_李厝.mp3
聚落,B584,,真福地,Tsin-hok-tī,,,,zhinˋ fug ti+,,,B584_真福地.mp3
聚落,B585,,御史崎,Gū-sái-kiā,,,牛屎崎,ngiu shiˊ giaˇ,,牛屎崎,B585_御史崎.mp3
聚落,B586,,柴橋,Tshâ-kiô,,,,ciau kiau,,樵橋,B586_柴橋.mp3
聚落,B587,,石屑崙,Tsio̍h-sap-lūn,,,又寫作石碎崙、石渣崙,shagˋ seb lun+,,,B587_石屑崙.mp3
聚落,B588,,中坑,Tiong-khinn,,,,zhungˋ hangˋ,,,B588_中坑.mp3
聚落,B589,,坑仔內,Khinn-á-lāi,,,,hangˋ duˊ,,坑肚,B589_坑仔內.mp3
聚落,B590,,九甲埔,Káu-kah-poo,,,,giuˊ gab buˋ,,,B590_九甲埔.mp3
聚落,B591,,崁腳,Khàm-kha,,,,kamˇ haˋ,,崁下,B591_崁腳.mp3
聚落,B592,,二十張犁,Lī-tsa̍p-tiunn-luê,,,二十張犂,ngi+ shibˋ zhongˋ lai,,,B592_二十張犁.mp3
聚落,B593,,溪洲仔,Khue-tsiu-á,,,,haiˋ zhiuˋ er,,,B593_溪洲仔.mp3
聚落,B594,,溪埔仔,Khue-poo-á,,,,haiˋ buˋ er,,,B594_溪埔仔.mp3
聚落,B595,,二十張犁圳（南莊圳）,Lī-tsa̍p-tiunn-luê-tsùn(Lâm-tsng-tsùn),,,二十張犂圳（南庄圳）,ngi+ shibˋ zhongˋ lai zhunˇ(nam zongˋ zhunˇ),,,B595_二十張犁圳（南莊圳）.mp3
聚落,B596,,白沙屯,Pe̍h-sua-tun,,,白沙墩,pagˋ saˋ doiˋ,,白沙堆,B596_白沙屯.mp3
聚落,B597,,四份仔,Sì-hūn-á,,,,siˇ fun+ er,,,B597_四份仔.mp3
聚落,B598,,潭後,Thâm-āu,,,,tam boiˇ,,潭背,B598_潭後.mp3
聚落,B599,,東勢,Tang-sì,,,,dungˋ sheˇ,,,B599_東勢.mp3
聚落,B600,,埔心,Poo-sim,,,,buˋ simˋ,,,B600_埔心.mp3
聚落,B601,,後庄,Āu-tsng,,,,heu+ zongˋ,,,B601_後庄.mp3
聚落,B602,,土地公埔,Thóo-tī-kong-poo,,,,bag gungˋ buˋ,,伯公埔,B602_土地公埔.mp3
聚落,B603,,薑寮,Kiunn-liâu,,,（羌寮、姜寮、恭寮）,giongˋ liau,,薑寮,B603_薑寮.mp3
聚落,B604,,埤腳,Pi-kha,,,,biˋ haˋ,,陂下,B604_埤腳.mp3
聚落,B605,,下東店,Ē-tang-tiàm,,,,haˋ dungˋ diamˇ,,,B605_下東店.mp3
聚落,B606,,五十厝,Gōo-tsa̍p-tshù,,,,ngˊ shibˋ vug,,五十屋,B606_五十厝.mp3
聚落,B607,,親仁新村,Tshin-lîn-sin-tshuan,,,,cinˋ rhin sinˋ cunˋ,,,B607_親仁新村.mp3
聚落,B608,,旭橋,Hiok-kiô,,,,hiug kiau,,,B608_旭橋.mp3
聚落,B609,,東門外,Tang-mn̂g-guā,,,,dungˋ mun ngoi+,,,B609_東門外.mp3
聚落,B610,,車頭,Tshia-thâu,,,,chaˋ teu,,,B610_車頭.mp3
聚落,B611,,舊頂竹圍,Kū-tíng-tik-uî,,,,kiu+ dangˊ zhug vui,,,B611_舊頂竹圍.mp3
聚落,B612,,枕頭山腳,Tsím-thâu-suann-kha,,,,zhimˊ teu sanˋ haˋ,,枕頭山下,B612_枕頭山腳.mp3
聚落,B613,,焿仔寮,Kinn-á-liâu,,,,giˋ er liau,,,B613_焿仔寮.mp3
聚落,B614,,頂竹圍,Tíng-tik-uî,,,,dangˊ zhug vui,,,B614_頂竹圍.mp3
聚落,B615,,巡司埔,Sûn-si-poo,,,,sun siiˋ buˋ,,,B615_巡司埔.mp3
聚落,B616,,巡司埔尾,Sûn-si-poo-bé,,,,sun siiˋ buˋ muiˋ,,,B616_巡司埔尾.mp3
聚落,B617,,土城仔,Thôo-siânn-á,,,塗城仔,tuˊ shang er,,,B617_土城仔.mp3
聚落,B618,,較場埔、中塚,"Kà-tiûnn-poo, Tiong-thióng",,,,gauˇ chong buˋ、zhungˋ chungˊ,,,B618_較場埔、中塚.mp3
聚落,B619,,隘門仔,Ài-mn̂g-á,,,,aiˇ mun er,,,B619_隘門仔.mp3
聚落,B620,,中井仔,Tiong-tsínn-á,,,,zhungˋ ziangˊ er,,,B620_中井仔.mp3
聚落,B621,,新興莊,Sin-hing-tsng,,,,sinˋ hinˋ zongˋ,,,B621_新興莊.mp3
聚落,B622,,十八樓,Tsa̍p-pueh-lâu,,,,shibˋ bad leu,,,B622_十八樓.mp3
聚落,B623,,溪仔尾（溪仔底）,Khue-á-bé (Khue-á-tué),,,,haiˋ er muiˋ(haiˋ er daiˊ),,,B623_溪仔尾（溪仔底）.mp3
聚落,B624,,園中央,Hn̂g-tiong-ng,,,,rhan dungˋ ongˋ,,,B624_園中央.mp3
聚落,B625,,烏崩崁,Oo-pang-khàm,,,,vuˋ benˋ kamˇ,,,B625_烏崩崁.mp3
聚落,B626,,竹仔坑,Tik-a-khinn,,,,zhug er hangˋ,,,B626_竹仔坑.mp3
聚落,B627,,毛蟹穴,Mn̂g-huē-hia̍t,,,,moˋ haiˊ hiedˋ,,,B627_毛蟹穴.mp3
聚落,B628,,東門,Tang-mn̂g,,,,dungˋ mun,,,B628_東門.mp3
聚落,B629,,武營頭,Bú-iânn-thâu,,,,vuˊ rhang teu,,,B629_武營頭.mp3
聚落,B630,,內莿仔腳,Lāi-tshì-á-kha,,,,nui+ ned er haˋ,,內竻仔下,B630_內莿仔腳.mp3
聚落,B631,,考棚邊街,Khó-pînn-pinn-kue,,,,kauˊ pang bienˋ gaiˋ,,,B631_考棚邊街.mp3
聚落,B632,,南門,Lâm-mn̂g,,,,nam mun,,,B632_南門.mp3
聚落,B633,,公館埕,Kong-kuán-tiânn,,,,gungˋ gonˊtang,,,B633_公館埕.mp3
聚落,B634,,爾雅巷、爾雅家,"Ní-ngá-hāng, Ní-ngá-ke",,,,ngiˊ ngaˋ hong+、ngiˊ ngaˋ vug,,爾雅屋,B634_爾雅巷、爾雅家.mp3
聚落,B635,,外莿仔腳,Guā-tshì-á-kha,,,,ngoi+ ned er haˋ,,外竻仔下,B635_外莿仔腳.mp3
聚落,B636,,金厝池,Kim-tshù-tî,,,,gimˋvug tong,,金屋塘,B636_金厝池.mp3
聚落,B637,,車埕,Tshia-tiânn,,,,chaˋ tang,,,B637_車埕.mp3
聚落,B638,,竹篙厝,Tik-ko-tshù,,,,zhug goˋ vug,,竹篙屋,B638_竹篙厝.mp3
聚落,B639,,牛路橋,Gû-lōo-kiô,,,,ngiu lu+ kiau,,,B639_牛路橋.mp3
聚落,B640,,舊港,Kū-káng,,,,kiu+ gongˊ,,,B640_舊港.mp3
聚落,B641,,船頭溪洲,Tsûn-thâu-khue-tsiu,,,,shon teu haiˋ zhiuˋ,,,B641_船頭溪洲.mp3
聚落,B642,,北寮仔,Pak-liâu-á,,,,bed liau er,,,B642_北寮仔.mp3
聚落,B643,,南寮,Lâm-liâu,,,,nam liau,,,B643_南寮.mp3
聚落,B644,,造船港,Tsō-tsûn-káng,,,,co+ shon gongˊ,,,B644_造船港.mp3
聚落,B645,,鳧湖,Gû-poo,,,牛埔,ngiu buˋ,,牛埔,B645_鳧湖.mp3
聚落,B646,,萬興,Bān-hing,,,,van+ hinˋ,,,B646_萬興.mp3
聚落,B647,,牛埔,Gû-poo,,,,ngiu buˋ,,,B647_牛埔.mp3
聚落,B648,,十塊寮,Tsa̍p-tè-liâu,,,,shibˋ co+ liau,,十座寮,B648_十塊寮.mp3
聚落,B649,,蟹仔埔,Huē-á-poo,,,,moˋ haiˊ buˋ,,毛蟹埔,B649_蟹仔埔.mp3
聚落,B650,,草厝仔,Tsháu-tshù-á,,,,coˊ vug er,,草屋仔,B650_草厝仔.mp3
聚落,B651,,油車港,Iû-tshia-káng,,,,rhiu chaˋ gongˊ,,,B651_油車港.mp3
聚落,B652,,北油車港,Pak-iû-tshia-káng,,,,bed rhiu chaˋ gongˊ,,,B652_北油車港.mp3
聚落,B653,,外湖,Guā-ôo,,,,ngoi+ fu,,,B653_外湖.mp3
聚落,B654,,樹林仔,Tshiū-hâm-á,,,樹涵仔,shu+ na er,,,B654_樹林仔.mp3
聚落,B655,,槺榔,Khong-lông,,,,kong long,,,B655_槺榔.mp3
聚落,B656,,大店,Tuā-tiàm,,,,tai+ diamˇ,,,B656_大店.mp3
聚落,B657,,苦苓腳,Khóo-lîng-kha,,,,fuˊ lien+ shu+ haˋ,,苦楝樹下,B657_苦苓腳.mp3
聚落,B658,,烏瓦窯,Oo-hiā-iô,,,,vuˋ ngaˊ rhau,,,B658_烏瓦窯.mp3
聚落,B659,,烏樹林,Oo-tshiū-nâ,,,,vuˋ shu+ na,,,B659_烏樹林.mp3
聚落,B660,,六甲,La̍k-kah,,,,liug gab,,,B660_六甲.mp3
聚落,B661,,牛肚巷,Gû-tōo-hāng,,,,ngiu duˊ hong+,,,B661_牛肚巷.mp3
聚落,B662,,樹林頭,Tshiū-uâ-thâu,,,Tshiū-nâ-thâu轉音,shu+ na teu,,,B662_樹林頭.mp3
聚落,B663,,下後湖,Ē-āu-ôo,,,,haˋ heu+ fu,,,B663_下後湖.mp3
聚落,B664,,鴨母寮,Ah-bú-liâu,,,,ab ma liau,,鴨嫲寮,B664_鴨母寮.mp3
聚落,B665,,番婆、範文巷,"Huan-pô, Huān-bûn-hāng",,,,fanˋ po、fam+ vun hong+,,,B665_番婆、範文巷.mp3
聚落,B666,,湳雅,Làm-á,,,,nam+ er,,湳仔,B666_湳雅.mp3
聚落,B667,,後湖,Āu-ôo,,,,heu+ fu,,,B667_後湖.mp3
聚落,B668,,荷蘭村,Hô-lân-tshun,,,,ho lan cunˋ,,,B668_荷蘭村.mp3
聚落,B669,,八卦厝,Pat-kuà-tshù,,,,bad guaˇ vug,,八卦屋,B669_八卦厝.mp3
聚落,B670,,湳仔溝,Làm-á-kau,,,,nam+ er gieuˋ,,,B670_湳仔溝.mp3
聚落,B671,,魚種寮,Hî-tsíng-liâu,,,,ng zhungˊ liau,,,B671_魚種寮.mp3
聚落,B672,,田尾,Tshân-bé,,,,tien muiˋ,,,B672_田尾.mp3
聚落,B673,,舊社,Kū-siā,,,,kiu+ sha+,,,B673_舊社.mp3
聚落,B674,,金門厝,Kim-mn̂g-tshù,,,,gimˋ mun vug,,金門屋,B674_金門厝.mp3
聚落,B675,,水田尾,Tsuí-tshân-bé,,,,shuiˊ tien muiˋ,,,B675_水田尾.mp3
聚落,B676,,水田,Tsuí-tshân,,,,shuiˊ tien,,,B676_水田.mp3
聚落,B677,,大埕,Tuā-tiânn,,,,tai+ tang,,,B677_大埕.mp3
聚落,B678,,水田前街,Tsuí-tshân-tsîng-kue,,,,shuiˊ tien cien gaiˋ,,,B678_水田前街.mp3
聚落,B679,,水田後街,Tsuí-tshân-āu-kue,,,,shuiˊ tien heu+ gaiˋ,,,B679_水田後街.mp3
聚落,B680,,北門,Pak-mn̂g,,,,bed mun,,,B680_北門.mp3
聚落,B681,,北門外,Pak-mn̂g-guā,,,,bed mun ngoi+,,,B681_北門外.mp3
聚落,B682,,外公館,Guā-kong-kuán,,,,ngoi+ gungˋ gonˊ,,,B682_外公館.mp3
聚落,B683,,隘門下腳,Ài-mn̂g-á-kha,,,,aiˇmun haˋ,,隘門下,B683_隘門下腳.mp3
聚落,B684,,刣牛橋,Thâi-gû-kiô,,,,chi ngiu kiau,,㓾牛橋,B684_牛橋.mp3
聚落,B685,,崙仔,Lūn-á,,,,lun+ er,,,B685_崙仔.mp3
聚落,B686,,崙仔尾,Lūn-á-bé,,,,lun+ er muiˋ,,,B686_崙仔尾.mp3
聚落,B687,,後布埔,Āu-pòo-poo,,,,heu+ buˇ buˋ,,,B687_後布埔.mp3
聚落,B688,,屎溝巷,Sái-kau-hāng,,,,shiˊ gieuˋ hong+,,,B688_屎溝巷.mp3
聚落,B689,,米市街,Bí-tshī-kue,,,,miˊ shi+ gaiˋ,,,B689_米市街.mp3
聚落,B690,,鼓樓內街,Kóo-lâu-lāi-kue,,,,guˊ leu nui+ gaiˋ,,,B690_鼓樓內街.mp3
聚落,B691,,暗街仔,Àm-kue-á,,,,amˇ gaiˋ er,,,B691_暗街仔.mp3
聚落,B692,,麥仔埕,Be̍h-á-tiânn,,,,magˋ er tang,,,B692_麥仔埕.mp3
聚落,B693,,打鐵巷,Phah-thih-hāng,,,,daˊ tied hong+,,,B693_打鐵巷.mp3
聚落,B694,,城隍廟後,Sîng-hông-biō-āu (Siông-biō-āu),,,Siông-biō為常見連讀,shang fong miau+ boiˇ,,城隍廟背,B694_城隍廟後.mp3
聚落,B695,,衙門口街,Gê-mn̂g-kháu-kue,,,,nga mun heuˊ gaiˋ,,,B695_衙門口街.mp3
聚落,B696,,谷倉口,Kok-tshng-kháu,,,穀倉口,gug congˋ heuˊ,,穀倉口,B696_谷倉口.mp3
聚落,B697,,西門,Sai-mn̂g,,,,siˋ mun,,,B697_西門.mp3
聚落,B698,,衙門口,Gê-mn̂g-kháu,,,,nga mun heuˊ,,,B698_衙門口.mp3
聚落,B699,,前布埔,Tsîng-pòo-poo,,,,cien buˇ buˋ,,,B699_前布埔.mp3
聚落,B700,,內公館,Lāi-kong-kuán,,,,nui+ gungˋ gonˊ,,,B700_內公館.mp3
聚落,B701,,石坊腳,Tsio̍h-hng-kha,,,,shagˋ biongˋ haˋ,,石枋下,B701_石坊腳.mp3
聚落,B702,,苧仔園,Túe-á-hn̂g,,,,chuˋ er rhan,,,B702_苧仔園.mp3
聚落,B703,,圳溝墘,Tsùn-kau-kinn,,,新竹將「墘」唸成kinn（陰平）,zhunˇ gieuˋ kien,,,B703_圳溝墘.mp3
聚落,B704,,西門小街,Sai-mn̂g-sió-kue,,,,siˋ mun siauˊ gaiˋ,,,B704_西門小街.mp3
聚落,B705,,西門外,Sai-mn̂g-guā,,,,siˋ mun ngoi+,,,B705_西門外.mp3
聚落,B706,,西門口街、西門口,"Sai-mn̂g-kháu-kue, Sai-mn̂g-kháu",,,,siˋ mun heuˊ gaiˋ/siˋ mun heuˊ,,,B706_西門口街、西門口.mp3
聚落,B707,,大竹圍,Tuā-tik-uî,,,,tai+ zhug vui,,,B707_大竹圍.mp3
聚落,B708,,油車,Iû-tshia,,,,rhiu chaˋ,,,B708_油車.mp3
聚落,B709,,崁仔腳,Khàm-á-kha,,,,kamˇ er haˋ,,崁仔下,B709_崁仔腳.mp3
聚落,B710,,大坵園,Tuā-khu-hn̂g,,,,tai+ kiuˋ rhan,,,B710_大坵園.mp3
聚落,B711,,頂井,Tíng-tsínn,,,,dangˊ ziangˊ,,,B711_頂井.mp3
聚落,B712,,內厝,Lāi-tshù,,,,nui+ vug,,內屋,B712_內厝.mp3
聚落,B713,,田中央,Tshân-tiong-ng,,,,tien dungˋ ongˋ,,,B713_田中央.mp3
聚落,B714,,莿仔腳,Tshì-á-kha,,,,ned er haˋ,,竻仔下,B714_莿仔腳.mp3
聚落,B715,,三角埔,Sann-kak-poo,,,,samˋ gog buˋ,,,B715_三角埔.mp3
聚落,B716,,下井,Ē-tsínn,,,,haˋ ziangˊ,,,B716_下井.mp3
聚落,B717,,外寮,Guā-liâu,,,,ngoi+ liau,,,B717_外寮.mp3
聚落,B718,,雅各巷,Ngá-kok-hāng,,,,ngaˊ gog hong+,,,B718_雅各巷.mp3
聚落,B719,,蘆竹圍,Lôo-tik-uî,,,,lu zhug vui,,,B719_蘆竹圍.mp3
聚落,B720,,客雅,Khiah-á,,,隙仔,hag ngaˊ,,,B720_客雅.mp3
聚落,B721,,灣潭,Uan-thâm,,,,van tam,,,B721_灣潭.mp3
聚落,B722,,客雅山,Khiah-á-suann,,,隙仔山,hag ngaˊ sanˋ,,,B722_客雅山.mp3
聚落,B723,,大南勢,Tuā-lâm-sì,,,,tai+ nam sheˇ,,,B723_大南勢.mp3
聚落,B724,,竹窟仔,Tik-khut-á,,,,zhug fud er,,,B724_竹窟仔.mp3
聚落,B725,,宮仔尾,King-á-bé,,,,giungˋ er muiˋ,,,B725_宮仔尾.mp3
聚落,B726,,田庄,Tshân-tsng,,,,tien zongˋ,,,B726_田庄.mp3
聚落,B727,,下過溝仔,Ē-kè-kau-á,,,,haˋ goˇ gieuˋ er,,,B727_下過溝仔.mp3
聚落,B728,,韭菜園,Kú-tshài-hn̂g,,,,giuˊ coiˇ rhan,,,B728_韭菜園.mp3
聚落,B729,,過溝仔,Kè-kau-á,,,,goˇ gieuˋ er,,,B729_過溝仔.mp3
聚落,B730,,田心仔,Tshân-sim-á,,,,tien simˋ er,,,B730_田心仔.mp3
聚落,B731,,雙瓣竹圍,Siang-pān Tik-uî,,,,sungˋ pan+ zhug vui,,,B731_雙瓣竹圍.mp3
聚落,B732,,下羊寮,Ē-iûnn-liâu,,,亦作「下楊寮」,haˋ rhong liau,,,B732_下羊寮.mp3
聚落,B733,,上羊寮,Tíng-iûnn-liâu,,,亦作「上楊寮」,shong+ rhong liau,,,B733_上羊寮.mp3
聚落,B734,,吉羊崙,Kiat-iûnn-lūn,,,,gid rhong lun+,,,B734_吉羊崙.mp3
聚落,B735,,番婆,Huan-pô,,,,fanˋ po,,,B735_番婆.mp3
聚落,B736,,下九甲,Ē-káu-kah,,,,haˋ giuˊ gab,,,B736_下九甲.mp3
聚落,B737,,頂九甲,Tíng-káu-kah,,,,dangˊ giuˊ gab,,,B737_頂九甲.mp3
聚落,B738,,上下六甲,Tíng-ē-la̍k-kah,,,,shong+ haˋ liug gab,,,B738_上下六甲.mp3
聚落,B739,,沙崙,Sua-lūn,,,,saˋ lun+,,,B739_沙崙.mp3
聚落,B740,,蘆竹湳,Lôo-tik-làm,,,,lu zhug nam+,,蘆竹濫,B740_蘆竹湳.mp3
聚落,B741,,頂沙崙,Tíng-sua-lūn,,,,dangˊ saˋ lun+,,,B741_頂沙崙.mp3
聚落,B742,,下沙崙,Ē-sua-lūn,,,,haˋ saˋ lun+,,,B742_下沙崙.mp3
聚落,B743,,莊仔,Tsng-á,,,,zongˋ er,,,B743_莊仔.mp3
聚落,B744,,過溝,Kè-kau,,,,goˇ gieuˋ,,,B744_過溝.mp3
聚落,B745,,蚵寮,Ô-liâu,,,,o liau,,,B745_蚵寮.mp3
聚落,B746,,樹仔腳,Tshiū-á-kha,,,,shu+ er haˋ,,,B746_樹仔腳.mp3
聚落,B747,,鹿廚坑,Lo̍k-tû-khinn,,,鹿櫥坑；11.3.3電訪竹南鎮公義里長,lugˋ chu hangˋ,,,B747_鹿廚坑.mp3
聚落,B748,,鹽水港,Kiâm-tsuí-káng,,,鹹水港,ham shuiˊ gongˊ,,鹹水港,B748_鹽水港.mp3
聚落,B749,,草厝仔（灰窯）,Tsháu-tshù-á (He-iô),,,,coˊ vug er(foiˋ rhau),,草屋仔(灰窯),B749_草厝仔（灰窯）.mp3
聚落,B750,,內湖,Lāi-ôo,,,,nui+ fu,,,B750_內湖.mp3
聚落,B751,,粟仔坑,Tshik-á-khinn,,,,siug er hangˋ,,,B751_粟仔坑.mp3
聚落,B752,,頂厝,Tíng-tshù,,,,shong+ vug,,上屋,B752_頂厝.mp3
聚落,B753,,苦仔坑,Kho-á-khinn,,,柯仔坑,koˋ er hangˋ,,柯仔坑,B753_苦仔坑.mp3
聚落,B754,,坑內,Khinn-lāi,,,,hangˋ duˊ,,坑肚,B754_坑內.mp3
聚落,B755,,竹圍仔,Tik-uî-á,,,,zhug vui er,,,B755_竹圍仔.mp3
聚落,B756,,八股,Pueh-kóo,,,,bad guˊ,,,B756_八股.mp3
聚落,B757,,五分埤,Gōo-hun-pi,,,,ngˊ funˋ biˋ,,五分陂,B757_五分埤.mp3
聚落,B758,,中隘,Tiong-ài,,,,zhungˋ aiˇ,,,B758_中隘.mp3
聚落,B759,,火燒坑,Hé-sio-khinn,,,,foˊ shauˋ hangˋ,,,B759_火燒坑.mp3
聚落,B760,,蔡厝,Tshuah--tshù,,,,caiˇ vug,,蔡屋,B760_蔡厝.mp3
聚落,B761,,山頂,Suann-tíng,,,,sanˋ dangˊ,,,B761_山頂.mp3
聚落,B762,,南隘,Lâm-ài,,,,nam aiˇ,,,B762_南隘.mp3
聚落,B763,,見路坑,Kiàn-lōo-khinn,,,又作見樂坑,gienˇ lu+ hangˋ,,,B763_見路坑.mp3
聚落,B764,,柳仔湳,Liú-á-làm,,,,liuˊ er nam+,,,B764_柳仔湳.mp3
聚落,B765,,柳仔湳口,Liú-á-làm-kháu,,,,liuˊ er nam+ heuˊ,,,B765_柳仔湳口.mp3
聚落,B766,,拭腳坪,Tshit-kha-pînn,,,,cudˋ giog piang,,捽腳坪,B766_拭腳坪.mp3
聚落,B767,,大湖,Tuā-ôo,,,,tai+ fu,,,B767_大湖.mp3
聚落,B768,,虎尾寮,Hóo-bé-liâu,,,,fuˊ muiˋ liau,,,B768_虎尾寮.mp3
聚落,B769,,公館坑,Kong-kuán-khinn,,,,gungˋ gonˊ hangˋ,,,B769_公館坑.mp3
聚落,B770,,埤埔仔,Pi-poo-á,,,,biˋ buˋ er,,陂埔仔,B770_埤埔仔.mp3
聚落,B771,,吳明西坑（五坪西坑）,Gôo-bîng-sai-khinn (Gôo-pîng-sai-khinn),,,,ng min siˋ hangˋ(ngˊ piang siˋ hangˋ),,,B771_吳明西坑（五坪西坑）.mp3
聚落,B772,,阿三媽坑,A-sam-má-khinn (A-sam-khinn),,,,a+ samˋ hangˋ,,阿杉坑,B772_阿三媽坑（阿杉坑）.mp3
聚落,B773,,菜瓜坑,Tshài-kue-khinn,,,,coiˇ guaˋ hangˋ,,,B773_菜瓜坑.mp3
聚落,B774,,矺仔,Tak-á,,,,dagˋ er,,,B774_矺仔.mp3
